Title,Date_of_Release,Genre,Crew_dir,Cast_stars,Plot_summary,Age_of_content,Votes,ImDBRating
F.A.L.T.U,2011,"Comedy, Drama            ","""    Director:Remo D'Souza""","Arshad Warsi, Riteish Deshmukh, Jackky Bhagnani, Puja Gupta","Unable to get accepted, four academically-challenged students decide to open their own college.",10,3013,4.6
Sooryavansham,1999,"Action, Drama            ","s:E.V.V. Satyanarayana, Pranavanand","Amitabh Bachchan, Soundarya, Rachana Banerjee, Jayasudha","Heera fails to live up to expectations of his father Thakur Bhanupratap Singh, a powerful and respected man of his community. Despite all odds Heera struggles to keep his father's pride.",22,2986,6.3
Aan: Men at Work,2004,"Action, Crime, Drama            ",Madhur Bhandarkar,"Akshay Kumar, Shatrughan Sinha, Sunil Shetty, Paresh Rawal",DCP Patnaik and his team's fights against corrupted politicians and mafia rule Mumbai city. However their faith in law and order is tested with serious outcomes.,17,2983,5.7
The Stoneman Murders,2009,"Crime, Drama, Mystery            ",Manish Gupta,"Kay Kay Menon, Arbaaz Khan, Rukhsar Rehman, Virendra Saxena","In 1980s Bombay, a serial killer starts targeting homeless street dwellers, whilst a suspended police officer attempts to solve the case.",12,2979,7.4
Apne,2007,"Drama, Sport            ",Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol, Shilpa Shetty Kundra","A disgraced ex-boxer attempts to make his two sons champion boxers in order to clear his name. One son agrees with this goal, but the other does not, causing family conflicts.",14,2977,6.0
Phörpa,1999,"Comedy, Sport            ",Khyentse Norbu,"Orgyen Tobgyal, Neten Chokling, Jamyang Lodro, Lama Chonjor","While the soccer World Cup is being played in France, two young Tibetan refugees arrive at a monastery/boarding school in exile in India. Its atmosphere of serene contemplation is somewhat ...                See full summary »",22,2977,7.0
The Shaukeens,2014,Comedy            ,Abhishek Sharma,"Akshay Kumar, Lisa Haydon, Anupam Kher, Rajni Basumatary",Three friends in their 60s try to do everything that they couldn't do in their younger days - before death arrives.,7,2968,4.9
Dolly Ki Doli,2015,"Comedy, Romance            ",Abhishek Dogra,"Malaika Arora, Karan Ashar, Mohd. Zeeshan Ayyub, Karim Hajee",Dolly is a con woman who marries unsuspecting men and on the wedding night runs away with their money. On the case is a police officer and two disgruntled grooms.,6,2964,4.5
Katti Batti,2015,"Comedy, Drama, Romance            ",Nikkhil Advani,"Imran Khan, Kangana Ranaut, Suhaas Ahuja, Vivan Bhatena",A romantic comedy that follows Maddy and Payal's live-in relationship until a sudden turn of events creates a distance between them.,6,2953,4.9
Total Siyapaa,2014,"Comedy, Drama, Romance            ",Eeshwar Nivas,"Ali Zafar, Yami Gautam, Anupam Kher, Kirron Kher","A young musician hopes to marry his beautiful Indian girlfriend, but his plans hit a snag when her family learns he's Pakistani.",7,2922,5.0
Fauji calling,2021,Drama            ,Aaryaan Saxena,"Bidita Bag, Anil Chouhan, Mugdha Godse, Siddhi Anil Jain",A soldier sacrifices his life during an attack. His family struggles following the attack which they've to face along with getting over their loss.,0,2921,5.6
B.A. Pass 3,2021,"Drama, Romance            ",Narendra Singh,"Sunny Sachdeva, Armaan Sandhu, Ankita Sahu, Ankita Chouhan",BA Pass 3 narrates the story of a jobless Anshul and how his life changes upside down when he meets a married woman and gets into a relationship with her.,0,2919,8.2
Aladin,2009,"Action, Adventure, Comedy            ",Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Riteish Deshmukh, Jacqueline Fernandez","Since he was a child, Aladin Chatterjee has been teased for his fairytale name. As a college student he follows his namesake's footsteps; unleashing genie Genius and wooing exchange student Jasmine. But the evil Ringmaster approaches.",12,2912,4.6
Taarzan: The Wonder Car,2004,"Action, Fantasy, Thriller            ","s:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vatsal Sheth, Ayesha Takia, Ajay Devgn, Farida Jalal","Raj rebuilds his dead father's car and names it Tarzan, but the car comes to life in a miraculous way. Slowly, the car starts killing the killers of Raj's father.",17,2901,4.5
Tumko Na Bhool Paayenge,2002,"Action, Romance, Thriller            ",Pankaj Parashar,"Pankaj Dheer, Arbaaz Khan, Salman Khan, Sushmita Sen",An amnesiac Hindu man remembers his past as a Muslim sharpshooter and an assassin.,19,2883,5.6
Hum,1991,"Action, Comedy, Drama            ",Mukul Anand,"Amitabh Bachchan, Rajinikanth, Govinda, Kimi Katkar","A dockworker overthrows the tyranny of a cruel gangster but has to run away to make a new life for himself and his brothers. Fifteen years later, his past catches up with him as his old enemy resurfaces.",30,2883,6.8
Marudhar Express,2019,"Drama, Romance            ","s:Vishal Mishra, Amit Patel","Kunaal Roy Kapur, Tara-Alisha Berry, Rajesh Sharma, Gaurav Dixit","Marudhar is the son of his tyrant father, Ashok Pandey. Straight as an arrow and boring as an oyster, Marudhar trudges along in his life, one hopeless day after the other. But Ashok has ...                See full summary »",2,2878,6.0
Phobia,2016,"Drama, Mystery, Thriller            ",Pawan Kripalani,"Radhika Apte, Amrita Bagchi, Nivedita Bhattacharya, Yashaswini Dayama","An agoraphobic young woman, traumatized by past events, finds herself trapped and terrorized in her own home.",5,2878,6.9
LOC: Kargil,2003,"Drama, History, War            ",J.P. Dutta,"Sanjay Dutt, Ajay Devgn, Saif Ali Khan, Sunil Shetty",Based on the real story during Kargil war fought between India and Pakistan in 1999.,18,2876,5.3
Bichhoo,2000,"Action, Crime, Drama            ",Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Ashish Vidyarthi, Farida Jalal",A contract killer with a tragic past trains a teenage girl to avenge the murder of her family and falls for her in the process.,21,2874,5.0
Chance Pe Dance,2010,"Comedy, Drama, Music            ","Ken Ghosh', ""","Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah""",New love convinces a struggling actor and dancer to enter a talent competition that could make him a superstar.,11,2873,4.7
Laila Majnu,2018,"Drama, Romance            ",Sajid Ali,"Avinash Tiwary, Tripti Dimri, Sumit Kaul, Abrar Qazi","Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels.",3,2872,7.8
Haasil,2003,"Crime, Drama, Romance            ",Tigmanshu Dhulia,"Jimmy Sheirgill, Hrishitaa Bhatt, Irrfan Khan, Ashutosh Rana","Aniruddh, a law-abiding college student, in love with Niharika, gets caught up in college politics and crime and must fight it out for himself when his friend becomes his foe.",18,2866,7.6
Muthu,1995,"Action, Comedy, Drama            ",K.S. Ravikumar,"Rajinikanth, Meena, Sarath Babu, Senthil","The movie is about a loyal servant, Muthu (Rajni), working for Zamindar Malayasimman (Sarath Babu) and the cunning plans by the uncle of Malasimman to capture the whole wealth which uncovers some mystery about Muthu.",26,2861,7.6
Bade Miyan Chote Miyan,1998,"Action, Comedy, Musical            ",avid Dhawan,"Amitabh Bachchan, Govinda, Raveena Tandon, Ramya Krishnan","Arjun and Pyare Mohan are honest policemen who work together. Trouble follows when thieves Bade Miyan and Chote Miyan, look-alikes of Arjun and Pyare, commit crimes and the hapless duo are blamed for it.",23,2857,5.8
Soldier,1998,"Action, Drama, Musical            ","s:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Bobby Deol, Preity Zinta, Rakhee Gulzar, Farida Jalal",The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh Oberoi). The story keeps the covers on Bobby Deols plan until the end when everything is revealed as to why he is a SOLDIER.,23,2851,6.2
Bhuddah Hoga Tera Baap,2011,"Action, Comedy, Crime            ",Puri Jagannadh,"Amitabh Bachchan, Hema Malini, Sonu Sood, Sonal Chauhan","A quick-tempered, flamboyantly-dressed, retired hit-man returns to India for one last job. Just don't call him ""Buddah""",10,2842,5.6
Dil Dosti Etc,2007,"Comedy, Crime, Drama            ",Manish Tiwary,"Imaaduddin Shah, Shreyas Talpade, Smriti Mishra, Nikita Anand","Two college boys from diverse backgrounds believe that since time is on their side, anything is possible. Consequently, their arrogance leads them to challenge each other to prove their efficiencies.",14,2835,7.0
99,2009,"Comedy, Crime, Drama            ","s:Krishna D.K., Raj Nidimoru","Kunal Khemu, Boman Irani, Soha Ali Khan, Cyrus Broacha",A gangster deputes two of his men to recover money from an out of town compulsive gambler.,12,2826,7.3
Hero No. 1,1997,"Comedy, Drama, Musical            ",avid Dhawan,"Govinda, Karisma Kapoor, Kader Khan, Paresh Rawal","Timid Rajesh Malhotra escapes his tyrant father and meets Meena in a foreign land. The two lovers decide to marry, but when Meena's parents object, Rajesh decides to win them over in the quirkiest way.",24,2824,6.2
Na Tum Jaano Na Hum,2002,"Comedy, Drama, Musical            ",Arjun Sablok,"Saif Ali Khan, Hrithik Roshan, Esha Deol, Alok Nath",A romantically inclined couple decide to get to know each other through letters without disclosing their identities.,19,2813,5.0
Dilwale,1994,"Action, Drama, Romance            ",Harry Baweja,"Ajay Devgn, Sunil Shetty, Raveena Tandon, Gulshan Grover",A police officer finds out the truth about a mental patient and helps him bring the perpetrators to justice.,27,2812,5.7
Angry Indian Goddesses,2015,"Comedy, Drama            ",Pan Nalin,"Sarah Jane Dias, Rajshri Deshpande, Sandhya Mridul, Amy Maghera",A photographer invites her closest friends to vacation at her family's home in Goa in celebration of her upcoming marriage.,6,2801,7.0
King Uncle,1993,"Comedy, Drama, Family            ",Rakesh Roshan,"Jackie Shroff, Shah Rukh Khan, Nagma, Sushmita Mukherjee","When a runaway orphan ends up at the house of a cruel millionaire, she decides to alter his perception of the world.",28,2784,5.1
Lucknow Central,2017,"Action, Crime, Drama            ",Ranjit Tewari,"Farhan Akhtar, Diana Penty, Inaamulhaq, Ronit Roy","When an innocent man aspiring to be a musician is framed for committing a murder, he decides to form a music band with his co-prisoners for a competition, but his real intention seems to be different.",4,2783,6.2
Sharaabi,1984,"Comedy, Drama, Romance            ",Prakash Mehra,"Amitabh Bachchan, Bharat Bhushan, Chandrashekhar, C.S. Dubey",A workaholic businessman neglects his only son after his wife's death. The son grows up to be a rebellious alcoholic.,37,2782,7.4
Rascals,2011,"Action, Comedy, Crime            ",avid Dhawan,"Ajay Devgn, Sanjay Dutt, Kangana Ranaut, Lisa Haydon",Two rival con-men attempt to outdo each other to woo a wealthy woman.,10,2772,2.9
Cargo,2019,"Drama, Fantasy, Sci-Fi            ",Arati Kadav,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma","A young female astronaut, who joins a reclusive astronaut aboard a spaceship, struggles with her job as she interacts with mysterious Cargos that appear on the ship.",2,2753,5.7
Sharma Ji Ki Lag Gayi,2019,Comedy            ,Manoj Sharma,"Mugdha Godse, Brijendra Kala, Krishna Abhishek, Shweta Khanduri","Professor Sharma Ji (Brijendra Kala) is quite a prude, but happens to be the sex columnist of 'Jhunjhuna Samachar', a weekly newspaper owned by the wealthy and influential Murli (Krishna ...                See full summary »",2,2747,4.8
Chaahat,1996,"Drama, Romance            ",Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher","Roop and his father come to the city for medical treatment where Reshma falls in love with Roop. However, Roop loves Pooja but when Reshma threatens to kill herself, Roop agrees to marry her.",25,2742,5.5
Namaste England,2018,"Comedy, Drama, Romance            ",Vipul Amrutlal Shah,"Arjun Kapoor, Parineeti Chopra, Anil Charanjeett, Aditya Seal","An Indian couple go to great lengths to move to London, England.",3,2735,2.2
Raja Babu,1994,"Action, Comedy, Drama            ",avid Dhawan,"Govinda, Karisma Kapoor, Shakti Kapoor, Kader Khan",A man tries to become a better son after his intended bride rejects him and he learns he was adopted from a poor family.,27,2732,6.3
Rakhta Charitra 2,2010,"Action, Biography, Crime            ",Ram Gopal Varma,"Shatrughan Sinha, Vivek Oberoi, Suriya, Sudeep","After avenging the death of his father and brother, a man must now content with another vengeful male.",11,2725,6.5
Freaky Ali,2016,"Comedy, Sport            ",Sohail Khan,"Nawazuddin Siddiqui, Arbaaz Khan, Amy Jackson, Asif Basra",A debt collector becomes a golfing sensation.,5,2717,4.9
Abhimaan,1973,"Drama, Musical            ",Hrishikesh Mukherjee,"Amitabh Bachchan, Jaya Bachchan, Asrani, Bindu","A popular singer convinces his new wife to enter show-business, but his pride is wounded when she outshines him.",48,2716,7.9
Lamhe,1991,"Drama, Musical, Romance            ",Yash Chopra,"Anil Kapoor, Sridevi, Anupam Kher, Waheeda Rehman","When the young Viren comes to India for the first time, he is captivated by Pallavi. When he learns she is already spoken for, he returns to London a broken man. When he gets the news of ...                See full summary »",30,2713,7.4
Welcome Home,2020,"Crime, Drama, Horror            ",Pushkar Mahabal,"Kashmira Irani, Swarda Thigle, Shashi Bhushan, Boloram Das","A census report leads two female government teachers to an isolated house, in which resides a family with twisted secrets they never imagined to recover.",1,2712,7.5
Muqaddar Ka Sikandar,1978,"Drama, Romance            ",Prakash Mehra,"Amitabh Bachchan, Vinod Khanna, Rakhee Gulzar, Rekha","When a homeless and orphaned young man finds work in the house of a wealthy man, he falls in love with the daughter of that wealthy man. But things start to change a lot thereafter.",43,2708,7.5
Dulhe Raja,1998,Comedy            ,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan, Prem Chopra","Poor Raja opens a fast food restaurant right opposite a five star hotel run by it's owner Singhania, earning his wrath. The wealthy hotel owner uses all his influence to remove Raja, but in...                See full summary »",23,2706,6.6
Mickey Virus,2013,"Comedy, Thriller            ",Saurabh Varma,"Manish Paul, Dean Alexandrou, Elli Avrram, V.M. Badola",When Delhi Police comes across an unusual case revolving around hacking they seek help of an expert who thinks like them only to come across a lazy hacker Mickey Arora.,8,2703,6.0
Begum Jaan,2017,"Action, Drama, History            ",Srijit Mukherji,"Amitabh Bachchan, Pallavi Sharda, Flora Saini, Naseeruddin Shah",The story of eleven prostitutes who refuse to part ways with their brothel and each other during the partition between India and Pakistan.,4,2702,5.5
Kaalakaandi,2018,"Comedy, Thriller            ",Akshat Verma,"Saif Ali Khan, Asif Basra, Neil Bhoopalam, Ankit Bisht","Focusing on life, death and karma, this dark comedy follows three parallel tracks - a man who discovers that he is a terminally ill, a woman seeking redemption and two goons with major trust issues.",3,2700,6.3
Pinjar: Beyond Boundaries...,2003,Drama            ,Chandra Prakash Dwivedi,"Urmila Matondkar, Manoj Bajpayee, Sanjay Suri, Sandali Sinha","In the days leading up to Partition, a Hindu woman is abducted by a Muslim man. Soon, she finds herself not only forced into marriage, but living in a new country as the borders between India and Pakistan are drawn.",18,2700,8.0
Ghost,2019,"Horror, Thriller            ",Vikram Bhatt,"Sanaya Irani, Shivam Bhaargava, Vikram Bhatt, Ameet Chana","The story of the film follows Karan Khanna, a politician of Indian origin in the United Kingdom, who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.",2,2698,5.0
Mastizaade,2016,Comedy            ,Milap Zaveri,"Tusshar Kapoor, Vir Das, Sunny Leone, Asrani",Sunny Kele and Aditya Chothia are two spoiled bachelors who are sex addicts. Their life takes an unexpected turn after they meet twin sisters Lily and Laila who treat sex addicts at their clinic.,5,2698,2.4
Bank Chor,2017,"Action, Comedy, Crime            ",Bumpy,"Riteish Deshmukh, Vivek Oberoi, Rhea Chakraborty, Sahil Vaid","A comic-caper, that tells the story of 3 morons trying to rob a bank who pick the worst day possible when everything that can go wrong, goes wrong and how they're inadvertently caught in the crossfire.",4,2696,5.9
Deewangee,2002,"Crime, Drama, Mystery            ",Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal",A lawyer tried to defend a person accused of murder who is diagnosed with Split personality disorder.,19,2696,6.6
Shree 420,1955,"Comedy, Crime, Drama            ",Raj Kapoor,"Nargis, Raj Kapoor, Nadira, Nemo","When a young man from a small town decides to make it big in a city, he faces several challenges.",66,2685,8.0
404: Error Not Found,2011,"Drama, Mystery, Thriller            ",Prawaal Raman,"Rajvvir Aroraa, Imaaduddin Shah, Nishikant Kamat, Ruchir Raj",A brilliant student starts hallucinating after moving into a room that was occupied by another who committed suicide.,10,2682,7.3
What's Your Raashee?,2009,"Comedy, Drama, Romance            ",Ashutosh Gowariker,"Harman Baweja, Priyanka Chopra Jonas, Anjan Srivastav, Manju Singh","A young man has only ten days to locate his soulmate as dictated by the stars, otherwise he could lose a fortune. He thus embarks on a journey through love, looking through twelve girls to find the one who fits his horoscope.",12,2681,4.6
Sunday,2008,"Action, Comedy, Mystery            ",Rohit Shetty,"Ajay Devgn, Ayesha Takia, Arshad Warsi, Irrfan Khan","An amnesiac woman fears a missing day in her life may connect her to a crime, and tries to retrace her steps between Saturday evening and Monday morning.",13,2681,5.4
Running Shaadi,2017,"Comedy, Romance            ",Amit Roy,"Arsh Bajwa, Taapsee Pannu, Richa Meena, Amit Sadh","Two friends, Ram Bharose and tech genius Cyberjeet, create a website that helps lovers to elope. The site is an instant hit; young couples line up for the opportunity to escape strict families and run away with the ones they love.",4,2680,6.6
Shaan,1980,"Action, Adventure, Crime            ",Ramesh Sippy,"Sunil Dutt, Shashi Kapoor, Amitabh Bachchan, Shatrughan Sinha",Two brothers go after the international mafia kingpin who murdered their cop brother. They are later joined by another man who wants revenge against the gangster.,41,2677,7.1
Jaanwar,1999,"Action, Crime, Drama            ",Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Shilpa Shetty Kundra, Mohnish Bahl","A ruthless criminal mends his criminal ways after he meets an abandoned child and takes utmost care of him. However, the shadows of the past continues to haunt him.",22,2676,6.0
Tribhanga,2021,"Drama, Family            ",Renuka Shahane,"Kajol, Tanvi Azmi, Mithila Palkar, Kunaal Roy Kapur",The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,0,2675,6.1
Jab Pyaar Kisise Hota Hai,1998,"Comedy, Drama, Romance            ",pak Sareen,"Salman Khan, Twinkle Khanna, Johnny Lever, Farida Jalal","A Playboy's past catches up with him, when he wants to get married",23,2669,5.8
Silsila,1981,"Drama, Family, Romance            ",Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Jaya Bachchan, Rekha","SILSILA is a love story, thwarted by society's demands, which reappears as adultery but can it survive in the face of society?",40,2668,7.3
Kalyug,2005,"Action, Crime, Drama            ",Mohit Suri,"Kunal Khemu, Deepal Shaw, Smiley Suri, Atul Parchure","A newly married couple is caught on camera during their honeymoon. When the wife commits suicide after the video is released on internet, the husband sets out to seek revenge.",16,2660,6.5
Paharganj,2019,"Crime, Drama, Mystery            ",Rakesh Ranjan Kumar,"Lorena Franco, Bijesh Jayarajan, Neet Chowdhary, Rajeev Gaursingh","Coming from the streets of Paharganj, the movie depicts a woman's search for her lost love, a man's attempt to regain his lost enigma and dealing with his brother's untimely death, an unexpected political murder, and raging gang war.",2,2654,4.5
Soni,2018,"Crime, Drama            ",Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla, Mohit Chauhan","While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",3,2644,7.1
Commando 3,2019,"Action, Adventure, Thriller            ",Aditya Datt,"Vidyut Jammwal, Adah Sharma, Gulshan Devaiah, Angira Dhar",Karan goes to London to stop a terrorist attack on India.,2,2629,5.7
Jalebi,2018,"Drama, Romance            ",Pushpdeep Bhardwaj,"Rhea Chakraborty, Varun Mitra, Digangana Suryavanshi, Arya Poorti",A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,3,2609,6.0
The Warrior,2001,"Adventure, Drama            ",Asif Kapadia,"Irrfan Khan, Puru Chibber, Aino Annuddin, Manoj Mishra","In feudal India, a warrior (Khan) who renounces his role as the longitme enforcer to a local lord becomes the prey in a murderous hunt through the Himalayan mountains.",20,2608,6.7
Virasat,1997,"Drama, Family, Musical            ",Priyadarshan,"Anil Kapoor, Tabu, Pooja Batra, Milind Gunaji","After completing his studies in London, England, Shakti Thakur returns home to India in a small town where his family resides. Accompanying him is his leggy girlfriend, Anita, who he is in ...                See full summary »",24,2599,7.5
Traffic,2016,"Adventure, Drama, Thriller            ",Rajesh Pillai,"Manoj Bajpayee, Jimmy Sheirgill, Divya Dutta, Prasenjit Chatterjee",An emotional thriller based on a road trip from Mumbai to Pune. Inspired from the real events that happened in Chennai,5,2595,6.8
Luck,2009,"Action, Adventure, Drama            ",Soham Shah,"Mithun Chakraborty, Sanjay Dutt, Imran Khan, Ravi Kishan","An underworld kingpin recruits people endowed with 'Luck' from across the globe to take part in a series of challenges designed to test their 'Luck' factor, as gamblers around the world bet on them.",12,2589,4.9
Lajja,2001,"Action, Crime, Drama            ",Rajkumar Santoshi,"Manisha Koirala, Jackie Shroff, Madhuri Dixit, Ajay Devgn",The lives of four women from different places are the victims of male chauvinism and marital abuse. They decide to fight for their rights and dignity against the social norms and injustice.,20,2587,6.7
One Two Three,2008,"Comedy, Crime            ",Ashwani Dhir,"Tusshar Kapoor, Sunil Shetty, Paresh Rawal, Esha Deol","Three strangers with the same name, Laxminarayan, travel to Pondi with their tasks. Chaos ensues when they are mistaken for each other as they stay in the same hotel.",13,2584,5.3
Deewana Mastana,1997,"Comedy, Romance            ",avid Dhawan,"Anil Kapoor, Govinda, Juhi Chawla, Johnny Lever",Chaos ensues when a small time crook and a mental patient tries to win heart of a beautiful woman with comical outcomes.,24,2568,6.7
Trimurti,1995,"Action, Drama            ",Mukul Anand,"Jackie Shroff, Anil Kapoor, Shah Rukh Khan, Priya Tendulkar","After being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor.",26,2568,4.8
Ragini MMS,2011,"Drama, Horror, Mystery            ",Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice","Out to relax and have fun at a farmhouse, a couple experience horror at the hands of an unknown entity.",10,2564,4.9
Why Cheat India,2019,"Crime, Drama            ",Soumik Sen,"Emraan Hashmi, Shreya Dhanwanthary, Snighdadeep Chatterji, Shubham Somu Srivastava","The movie focuses on existing malpractices in country's education system, the whole concept of buying your way through education, jobs and earnings. Even with an evolving education system, ...                See full summary »",2,2552,6.0
Chandni Bar,2001,"Crime, Drama            ",Madhur Bhandarkar,"Tabu, Atul Kulkarni, Rajpal Yadav, Shri Vallabh Vyas","A displaced woman is forced to become a beer-bar dancer, and sire children of a gangster.",20,2539,7.6
Sulemani Keeda,2014,"Comedy, Romance            ",Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev, Karan Mirchandani","This is a Bromantic Comedy about two struggling writers who peddle their mediocre screenplay, ""Sulemani Keeda"" in Bollywood. Perenially hungry and horny, they lie, drink, hit on ...                See full summary »",7,2536,7.1
Fida,2004,"Action, Crime, Drama            ",Ken Ghosh,"Kareena Kapoor, Fardeen Khan, Shahid Kapoor, Kim Sharma","A young man is hellbent to destroy his arch enemy and his lover, who destroyed his life.",17,2535,5.5
Rann,2010,"Drama, Mystery, Thriller            ",Ram Gopal Varma,"Amitabh Bachchan, Riteish Deshmukh, Gul Panag, Paresh Rawal",The revered chief of a news agency tries to maintain journalistic integrity as his bureau and a rival agency vie for viewers following a terrorist attack.,11,2532,6.9
Dial 100,2021,"Action, Thriller            ","""    Director:Renzil D'Silva""","Manoj Bajpayee, Sakshi Tanwar, Neena Gupta, Vikram Bham","One night, while working at the Mumbai Police Emergency Call Centre, police officer Nikhil Sood gets a call from a hysterical woman who wants to commit suicide. Even as he tries to save her...                See full summary »",0,2532,6.0
Inkaar,2013,"Drama, Romance, Thriller            ","s:Sudhir Mishra, Jay Dev Banerjee","Arjun Rampal, Chitrangda Singh, Vipin Sharma, Mithun Rodwittiya","At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious protégée, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.",8,2531,6.0
Loev,2015,"Drama, Romance            ",Sudhanshu Saria,"Dhruv Ganesh, Siddharth Menon, Shiv Panditt, Dixit","A weekend trip between friends takes a sudden turn, making them each question what love is and what it means to them.",6,2529,5.8
Dulha Mil Gaya,2010,"Comedy, Drama, Romance            ",Mudassar Aziz,"Sushmita Sen, Fardeen Khan, Ishita Sharma, Shah Rukh Khan",A man marries so he can inherit his father's wealth.,11,2529,4.2
Yeh Hai Jalwa,2002,"Comedy, Drama, Romance            ",avid Dhawan,"Rishi Kapoor, Salman Khan, Ameesha Patel, Rati Agnihotri","Raj Saxena (Salman Khan) goes to London, expecting his long-lost dad (Rishi Kapoor) to warmly greet him, but things do not go as planned.",19,2522,4.7
Drona,2008,"Action, Adventure, Fantasy            ",Goldie Behl,"Jayshree Arora, Veer Arya, Abhishek Bachchan, Jaya Bachchan","A young man learns he is the latest in line of a dynasty of ancestral warriors dedicated to guarding a mystic source of cosmic energy, and the time has come for him to take the role.",13,2506,2.0
Dosti: Friends Forever,2005,"Drama, Romance            ",Suneel Darshan,"Akshay Kumar, Bobby Deol, Kareena Kapoor, Lara Dutta","Karan Thapar, a wealthy young man, is saved by Raj Malhotra, a poor guy, from a near-death accident, which gives rise to their unending tale of friendship and brotherhood.",16,2504,5.5
Sadak,1991,"Action, Drama, Romance            ",Mahesh Bhatt,"Sanjay Dutt, Pooja Bhatt, Deepak Tijori, Sadashiv Amrapurkar","A taxi driver with a tragic past sees an opportunity for redemption when he encounters a woman sold into prostitution. Wanting to help her escape, he has to deal with the wrath of the brothel madam.",30,2501,6.4
Jai Gangaajal,2016,"Crime, Drama            ",Prakash Jha,"Priyanka Chopra Jonas, Prakash Jha, Manav Kaul, Ninad Kamat",A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,5,2497,5.6
Murder 3,2013,"Drama, Mystery, Thriller            ",Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Sara Loren, Rajesh Shringarpure","A hot-shot fashion and wildlife photographer Vikram gets into a relationship with Nisha. She moves in with him in his palatial house outside of the city. The old world house, made decades ...                See full summary »",8,2495,4.9
Hero,2015,"Action, Drama, Musical            ",Nikkhil Advani,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia, Aditya Pancholi","A boy and a girl find themselves stuck in a whirlpool of such intense love that they would do anything, go to any extent and face all odds for the one they love.",6,2492,3.5
Namak Halaal,1982,"Action, Comedy, Drama            ",Prakash Mehra,"Waheeda Rehman, Shashi Kapoor, Amitabh Bachchan, Smita Patil","Brought up by his grandfather, Arjun Singh moves to the city in search of a new job and life. While in the city he meets Bhairon who helps him find a job as a singer in a 5-star hotel owned by Raja.",39,2492,7.3
Honeymoon Travels Pvt. Ltd.,2007,"Comedy, Drama, Romance            ",Reema Kagti,"Abhay Deol, Minissha Lamba, Boman Irani, Shabana Azmi","Six newly-married, diverse, honeymooning couples face marital bliss and discord, finding out more about themselves, their significant others and life in this happy-go-lucky, quirky drama.",14,2491,6.1
Zanjeer,2013,"Action, Crime, Drama            ",Apoorva Lakhia,"Ram Charan, Priyanka Chopra Jonas, Sanjay Dutt, Prakash Raj",ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.,8,2487,3.2
Ram Lakhan,1989,"Action, Comedy, Drama            ",Subhash Ghai,"Rakhee Gulzar, Jackie Shroff, Anil Kapoor, Dimple Kapadia","Ram Lakhan is the story of two brothers who part ways due to their ideological differences, but how they come to each other's rescue as the story unfolds.",32,2486,6.8
Great Grand Masti,2016,"Comedy, Drama, Fantasy            ",Indra Kumar,"Urvashi Rautela, Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani","Amar, Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of, but she slowly turns into their worst nightmare!",5,2485,3.6
Dhan Dhana Dhan Goal,2007,"Drama, Sport            ",Vivek Agnihotri,"John Abraham, Arshad Warsi, Bipasha Basu, Boman Irani","Jaidev and Kavita Bhasin live a middle-classed lifestyle in Southall, England, along with their son, Sunny. During the mid-80s Jaidev was a huge fan of the all-Asian Southall Football Club,...                See full summary »",14,2481,5.0
